City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
655,Owando,CG,93.27,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
657,Sao Felix Do Xingu,BR,72.41,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
661,Oranjestad,AW,77.92,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
662,Soe,ID,70.3,overcast clouds,-9.8607,124.284,Dena Hotel
664,Alta Floresta,BR,72.19,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
668,Manokwari,ID,82.08,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
670,Mgandu,TZ,78.49,overcast clouds,-5.95,34.1333,
671,Quatre Cocos,MU,84.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
673,Nicoya,CR,70.18,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
674,Sarangani,PH,83.23,broken clouds,5.4033,125.4636,Ballistic Islet
